ESTADO;CIDADE;x;y;TIPO;NOME;TEXTO
SÃO PAULO;Arujá;796,952;910,923;Cooperativa;COOMARCA - COOPERATIVA DE CATADORES DE MATERIAIS RECICLAVEIS DE PETROLINA;
MINAS GERAIS;Uberlândia;791,193;746,469;Cooperativa;COOMCAT - COOPERATIVA DE CATADORES E RECICLADORES DE SANTA CRUZ DO SUL;
MATO GROSSO;Campo Verde;590,552;660,055;Cooperativa;COOMCREAL - COOPERATIVA MISTA DE COLETA E RECICLAGEM DE MATERIAIS REAPROVEITÁVEIS, EDUCAÇÃO AMBIENTAL DE ENCRUZILHADA DO SUL;
PARANÁ;Ribeirão Claro;735,869;896,759;Cooperativa;COOMSERC - COOPERATIVA MISTA DE SERVIÇO DO CABO DE SANTO AGOSTINHO;
SÃO PAULO;Poá;824,269;933,801;Cooperativa;COOP COELHO NETO - COOPERATIVA DE TRABALHO E PRODUÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE COELHO NETO;
RIO GRANDE DO SUL;Porto Alegre;682,395;1133,422;Cooperativa;COOPARC - COOPERATIVA DE TRABALHO EM COLETA SELETIVA E RECICLAGEM DE CURAÇÁ;
RIO GRANDE DO SUL;São Lourenço do Sul;652,402;1173,643;Cooperativa;COOPCARE - COOPERATIVA DOS CATADORES DE MATERIAIS RECICLÁVEIS DE PAÇO DO LUMIAR;
RIO GRANDE DO SUL;Santo Ângelo;608,372;1054,774;Cooperativa;COOPCARMO - COOPERATIVA MISTA DE COLETA SELETIVA E REAPROVEITAMENTO DE MESQUITA LTDA;
RIO DE JANEIRO;Volta Redonda;912,053;870,153;Cooperativa;COOPECAPI - COOPERATIVA DE CATADORES DE SAO JOAO DE PIRABAS;
PARANÁ;Curitiba;739,543;960,203;Cooperativa;COOPECMARCA - COOPERATIVA DOS CATADORES DE MATERIAIS RECICLÁVEIS DE CAMPO ALEGRE;
SÃO PAULO;Guararema;856,972;901,8;Cooperativa;COOPEMAR - COOPERATIVA DE CATADORES AUTÔNOMOS DE MATERIAIS RECICLÁVEIS DE MORRO AGUDO;
SÃO PAULO;Guarulhos;786,016;905,408;Cooperativa;COOPER 3 RS - ASSOCIAÇÃO COOPER 3RS;
SÃO PAULO;Guarulhos;793,511;899,901;Cooperativa;COOPER CENTRAL TIETE - COOPERATIVA DE PRODUCAO, COLETA, TRIAGEM, TRANSF., COML. DE RECICLAVEIS E RECICLADOS TIETE COOPER. CENTRAL TIETE;
SÃO PAULO;São Paulo;849,504;917,227;Cooperativa;COOPER NOVA ERA - COOPERATIVA DE TRABALHO DE CATADORES NOVA ERA DE MATERIAL RECICLÁVEL;
AMAZONAS;Manacapuru;392,464;274,676;Cooperativa;COOPER RESPIRA BRASIL - COOPERATIVA DE TRABALHO DE CATADORAS E CATADORES DE MATERIAIS RECICLAVEIS RESPIRA BRASIL;
MATO GROSSO;Nova Mutum;563,648;580,336;Cooperativa;COOPER SANTO ANTONIO - COOPERATIVA DE TRABALHO DOS RECICLADORES DO LOTEAMENTO SANTO ANTONIO;
RIO GRANDE DO SUL;Porto Alegre;690,431;1152,641;Cooperativa;COOPERAGIR - COOPERATIVA DOS AGENTES AMBIENTAIS - COOPERAGIR;
MINAS GERAIS;Ouro Preto;933,174;791,963;Cooperativa;COOPERARE - COOPERATIVA DOS PRODUTORES DE MATERIAIS RECICLÁVEIS DE ARAXÁ;
PERNAMBUCO;Recife;1144,259;436,74;Cooperativa;COOPERASGO - COOPERATIVA REGIONAL DE COLETA SELETIVA E RECICLAGEM DE SÃO GABRIEL DO OESTE;
PARANÁ;Curitiba;751,491;976,066;Cooperativa;COOPERATIVA AGUAPÉ - COOPERATIVA MISTA DE TRABALHO E PRODUÇÃO DE COLETA SELETIVA, REAPROVEITAMENTO E RECICLAGEM DO LIXO LTDA AGUAPÉ;
RIO DE JANEIRO;Pinheiral;918,585;871,68;Cooperativa;COOPERATIVA ALIANÇA - COOPERATIVA ALIANÇA DE COLETA DE MATERIAIS RECICLÁVEIS SÃO JUDAS TADEU;
SANTA CATARINA;São José;746,463;1039,247;Cooperativa;COOPERATIVA CHICO MENDES - COOPERATIVA DE TRABALHO COM MATERIAIS REAPROVEITÁVEIS E RECICLÁVEIS CHICO MENDES;
DISTRITO FEDERAL;Brasília;790,872;649,938;Cooperativa;COOPERATIVA FILADELPHIA - COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLAVEIS FILADELPHIA;
PERNAMBUCO;Recife;1158,13;440,318;Cooperativa;COOPERATIVA PARAÍSO - COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS PARAISO;
CEARÁ;Fortaleza;1082,696;314,317;Cooperativa;COOPERATIVA POPULAR DE RECICLAGEM E SERVIÇOS MULHERES DA BAIXADA LTDA;
MINAS GERAIS;Carmo do Rio Claro;854,896;811,188;Cooperativa;COOPERATIVA RECOOPERAR DE ITABORAI - COOPERATIVA RECOOPERAR DE CATADORES DE MATERIAL RECICLÁVEL DE ITABORAÍ;
DISTRITO FEDERAL;Brasília;808,704;667,214;Cooperativa;COOPERATIVA RECOOPERAR DE SÃO GONÇALO - COOPERATIVA RECOOPERAR DE CATADORES DE MATERIAIS RECICLÁVEIS DE SÃO GONÇALO;
BAHIA;Vitória da Conquista;1012,255;632,554;Cooperativa;COOPERATIVA RENOVE - COOPERATIVA DE TRABALHO RENOVE DE RESIDUOS SOLIDOS DE BRASILIA(CTRRSB);
SANTA CATARINA;Florianópolis;775,282;1017,842;Cooperativa;COOPERATIVA REVIRAVOLTA - COOPERATIVA DE RECICLAGEM REVIRAVOLTA DE NOSSA SENHORA DO SOCORRO;
PARÁ;Benevides;784,979;215,991;Cooperativa;COOPERATIVA SANTA GENEBRA - COOPERATIVA DE TRABALHO DE PRODUÇÃO DOS PROFISSIONAIS EM COLETA PROCESSAMENTO E COMERCIALIZAÇÃO DE MATERIAIS RECICLAVEIS E REUTILIZAVEIS SANTA GENEBRA;
RIO DE JANEIRO;Rio de Janeiro;921,061;887,021;Cooperativa;COOPERBRASIL - COOPERTAIVA DE TRABALHO BRASILEIRA DE CATADORES DE MATERIAIS RECICLEVEIS E EDUCAÇÃO AMBIENTAL;
PARÁ;São Miguel do Guamá;802,104;218,03;Cooperativa;COOPERCICLA PARACATU - COOPERATIVA DOS CATADORES E RECICLADORES DO NOROESTE DE MINAS LTDA;
RIO DE JANEIRO;Volta Redonda;907,677;868,462;Cooperativa;COOPERCICLA PR - ASSOCIAÇÃO DE AGENTES ECOLÓGICOS E RECICLADORES;
ESPIRITO SANTO;Serra;1030,393;804,239;Cooperativa;COOPERCICLI - COOPERATIVA DE TRABALHO DE COLETA SELETIVA DOS CATADORES DE CAETITÉ;
ESPIRITO SANTO;SERRA;;;Cooperativa;COOPERCOLINA - COOPERATIVA DOS CATADORES DE MATÉRIAIS RECICLÁVEIS DE COLINA;
PERNAMBUCO;Petrolina;1037,24;442,713;Cooperativa;COOPERCONQUISTA - COOPERATIVA DE TRABALHO DE CATADORES NOVA CONQUISTA;
ESPIRITO SANTO;Vila Velha;1036,639;785,269;Cooperativa;COOPERE - COOPERATIVA DE TRABALHO DE MATERIAIS RECICLÁVEIS E REUTILIZÁVEIS AMBIENTAL;
MINAS GERAIS;Santos Dumont;932,165;826,714;Cooperativa;COOPERECOLOGICA - COOPERATIVA DE TRANSFORMAÇÃO E COMERCIALIZAÇÃO DE PLÁSTICOS E MATERIAIS RECICLÁVEIS DE SARANDI;
SANTA CATARINA;Florianópolis;770,632;1039,593;Cooperativa;COOPERFENIX SP - COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS FENIX;
MINAS GERAIS;Nova União;936,089;744,42;Cooperativa;COOPERFITZ - COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS DE JUAZEIRO;
RIO GRANDE DO SUL;São Leopoldo;719,707;1127,444;Cooperativa;COOPERGLICÉRIO - COOPERATIVA DE TRABALHO E DA COLETA SELETIVA DOS CATADORES DA BAIXADA DO GLICERIO;
PARANÁ;Curitiba;763,706;979,027;Cooperativa;COOPERGUARY - COOPERATIVA DE TRABALHO DOS AGENTES ECOLÓGICOS DO PARAGUARY;
RIO GRANDE DO SUL;Novo Hamburgo;707,068;1093,084;Cooperativa;COOPERJE - COOPERATIVA DE CATADORES RECICLA JEQUIÉ;
RIO GRANDE DO SUL;Portão;678,574;1084,378;Cooperativa;COOPERLESTE DE SAO MATEUS - COOPERATIVA DE PRODUCAO, COLETA, TRIAGEM E BENEFICIAMENTO DE MATERIAIS RECICLAVEIS DE SAO MATEUS;
RIO GRANDE DO SUL;São Leopoldo;721,789;1096,874;Cooperativa;COOPERLÍNIA - COOPERATIVA DE PROFISSIONAIS DA AREA DE RECICLAGEM DO BRASIL;
SÃO PAULO;Suzano;799,476;922,045;Cooperativa;COOPERLIX - COOPERATIVA DE RECICLAGEM DE LIXO;
BAHIA;Entre Rios;1083,523;549,684;Cooperativa;COOPERMETROPOLITANO - COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS DO POLO DE RECICLAGEM JARDIM GRAMACHO;
SANTA CATARINA;Chapecó;667,892;1011,341;Cooperativa;COOPERNÓES - COOPERATIVA DE TRABALHO DE MATERIAL RECICLADO E DE EDUCAÇÃO AMBIENTAL NOVA ESPERAÇA;
PARANÁ;Curitiba;773,07;976,066;Cooperativa;COOPERNORTE - COOPERATIVA NORTE DE MARINGÁ DE SEPARADORES E SEPARADORAS DE MATERIAIS RECICLÁVEIS E PRESTADORES DE SERVIÇOS;
SÃO PAULO;São Paulo;805,218;926,537;Cooperativa;COOPERPALMEIRAS - COOPERATIVA DE MATERIAIS RECICLÁVEIS DO PARQUE DAS PALMEIRAS;
SÃO PAULO;São Paulo;831,609;927,016;Cooperativa;COOPERSOLI - COOPERATIVA SOLIDÁRIA DOS RECICLADORES E GRUPOS PRODUTIVOS DO BARREIRO E REGIÃO;
SANTA CATARINA;São José;748,407;1020,2;Cooperativa;COOPERTAN - COOPERATIVA DE PRODUÇÃO DE MATERIAL RECICLAVEL DE TANGARA DA SERRA, ESTADO DE MATO GROSSO;
BAHIA;SALVADOR;1100,423;558,25;Cooperativa;COOPERTRAGE - COOPERATIVA DE TRABALHO DOS AGENTES ECOLÓGICOS;
CEARÁ;FORTALEZA;1082,696;291,766;Cooperativa;COOPERU - COOPERATIVA DOS RECOLHEDORES AUTÔNOMOS DE RESÍDUOS SÓLIDOS E MATERIAIS RECICLÁVEIS DE UBERABA;
BAHIA;SALVADOR;1071,737;559,291;Cooperativa;COOPERVIDA - COOPERATIVA DE AGENTES RECICLADORES VIDA NOVA;
RIO DE JANEIRO;RIO DE JANEIRO;928,082;885,919;Cooperativa;COOPERVIDROS - COOPERATIVA DE PROCESSAMENTO E COMERCIALIZAÇÃO DE VIDROS E MATERIAIS RECICLÁVEIS;
ALAGOAS;MACEIO;1168,405;449,889;Cooperativa;COOPERVITÓRIA - COOPERATIVA DE TRABALHO DE CATADORES VITORIA;
MINAS GERAIS;BETIM;904,178;793,026;Cooperativa;COOPESOL LESTE - COOPERATIVA SOLIDÁRIA DOS TRABALHADORES E GRUPOS PRODUTIVOS DA REGIÃO LESTE;
CEARÁ;FORTALEZA;1069,973;283,941;Cooperativa;COOPIDEAL - COOPERATIVA DE TRABALHO E PRODUÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS IDEAL LTDA;
PERNAMBUCO;RECIFE;1180,467;408,266;Cooperativa;COOPMAR AL - COOPERATIVA DE TRABALHO DOS CATADORES DE MARECHAL DEODORO LTDA;
SÃO PAULO;PRAIA GRANDE;828,964;929,03;Cooperativa;COOPQUITUNGO - COOPERATIVA DE TRABALHO COOPQUITUNGO COOPERANDO E RECICLANDO O RIO LTDA;
SÃO PAULO;SÃO PAULO;821,776;902,049;Cooperativa;COOPREL AL MATRIZ - COOPERATIVA DE RECICLADORES DE ALAGOAS;
MINAS GERAIS;BELO HORIZONTE;915,424;786,827;Cooperativa;COOPRESAN - COOPERATIVA DE RECICLAGEM DE SANTAREM;
PERNAMBUCO;CABO DE SANTO AGOSTINHO;1185,209;442,442;Cooperativa;COORECI_SE - COOPERATIVA DE RECICLAGEM DA CIDADE DE ITABAIANA-SE;
RIO DE JANEIRO;RIO DE JANEIRO;944,185;887,709;Cooperativa;COOREG - COOPERATIVA DE TRABALHO DOS RECICLADORES DE GUARÁ;
SÃO PAULO;ITU;805,419;906,819;Cooperativa;COOREPAM - COOPERATIVA ALTERNATIVA DE CATADORES, RECICLAGEM E PRESERVAÇÃO DO MEIO AMBIENTE DO ESTADO DE MATO GROSSO;
MARANHÃO;SÃO LUÍS;909,24;248,156;Cooperativa;COOREPLAST - COOPERATIVA DE TRABALHO DE CATADORES DE MAT REC;
ALAGOAS;MACEIO;1154,412;463,338;Cooperativa;COORES - COOPERATIVA DE RECICLAGEM DO BAIRRO SANTA MARIA;
PERNAMBUCO;RECIFE;1168,405;416,542;Cooperativa;COORSITA - COOPERATIVA DE CATADORES DE MATERIAIS RECICLÁVEIS DO MUNICÍPIO DE ITABAIANINHA;
PERNAMBUCO;RECIFE;1186,985;426,803;Cooperativa;COOTAEG - COOPERATIVA DE TRABALHO DOS AGENTES ECOLÓGICOS DE GUANAMBI;
MINAS GERAIS;BELO HORIZONTE;903,123;781,412;Cooperativa;COOVIR - COOPERATIVA VIAMONENSE DE CATADORES E RECICLADORES;
MARANHÃO;SÃO LUÍS;894,096;266,045;Cooperativa;COPERBRAVA - COOPERATIVA DOS RECICLADORES DA UNIDADE DE CANABRAVA;
SÃO PAULO;CUBATÃO;833,98;920,48;Cooperativa;CORA - CORA COOPERATIVA DE TRABALHADORES DE MATERIAIS RECICLAVEIS DE ARUJA;
SÃO PAULO;RIBEIRÃO PRETO;789,627;830,586;Cooperativa;CORU - COOPERATIVA DOS RECICLADORES DE UBERLANDIA - CO.R.U;
SÃO PAULO;SÃO PAULO;840,462;902,049;Cooperativa;COTRAMAR - COOPERATIVA DE TRABALHO DE MANEJO E RECICLAGEM DE RESIDUOS SOLIDOS;
RIO GRANDE DO NORTE;NATAL;1178,617;347,351;Cooperativa;COTRARI - COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS E DE RESÍDUOS SÓLIDOS DE RIBEIRÃO CLARO;
SÃO PAULO;SÃO PAULO;823,723;917,341;Cooperativa;CRUMA - CRUMA COOPERATIVA DE RECICLAGEM UNIDOS PELO MEIO AMBIENTE;
SÃO PAULO;SÃO JOSÉ DOS CAMPOS;853,421;903,473;Cooperativa;CTVP - CENTRO DE TRIAGEM DA VILA PINTO;
MINAS GERAIS;ITABIRITO;919,438;799,574;Cooperativa;ECOLOGICA DE SAO LCO DO SUL - ASSOCIACAO ECOLOGICA DE RECICLADORES DE SAO LOURENCO DO SUL;
SÃO PAULO;SÃO PAULO;811,486;908,813;Cooperativa;ECOS DO VERDE - ASSOCIAÇÃO DE RECICLAGEM E EDUCAÇÃO AMBIENTAL ECOS DO VERDE;
AMAZONAS;MANAUS;412,038;259,15;Cooperativa;FOLHA VERDE MATRIZ - COOPERATIVA MULTIFUNCIONAL DE CATADORES AMIGOS DO MEIO AMBIENTE DE MATERIAIS RECICLAVEIS DO MUNICIPIO DE VOLTA REDONDA;
SÃO PAULO;SÃO PAULO;812,352;924,211;Cooperativa;FUTURO ECOLOGICO - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLAVEIS FUTURO ECOLOGICO;
SÃO PAULO;MARÍLIA;726,912;867,934;Cooperativa;GUARARECICLA - COOPERATIVA DE TRABALHO GUARARECICLA DE COLETA SELETIVA E CONFECÇÃO DE PRODUTOS COM MATERIAIS RECICLÁVEIS;
SÃO PAULO;CAMPINAS;809,903;892,626;Cooperativa;GUARULHOS RECICLA - COOPERATIVA DE TRABALHO DE CATADORAS E CATADORES DE MATERIAIS RECICLAVEIS GUARULHOS RECICLA;
SÃO PAULO;SOROCABA;801,574;908,52;Cooperativa;LUTA E VIDA - COOPERATIVA DE TRABALHO DAS CATADORAS E CATADORES DE MATERIAIS RECICLAVEIS LUTA E VIDA;
SÃO PAULO;SÃO PAULO;835,354;907,673;Cooperativa;MOFARREJ - COOPERATIVA UNIÃO AMBIENTAL E ARTESANAL MOFARREJ;
SÃO PAULO;MOGI DAS CRUZES;847,409;908,057;Cooperativa;MPU RECICLE - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS SOLIDARIA DO MUNICÍPIO DE MANACAPURU;
RIO GRANDE DO NORTE;NATAL;1165,705;342,194;Cooperativa;NOVA MUTUM - ASSOCIACAO DE COLETORES E SELECIONADORES DE MATERIAIS RECICLAVEIS DE NOVA MUTUM;
MINAS GERAIS;UBERLANDIA;792,707;756,432;Cooperativa;PADRE CACIQUE - COOPERATIVA PADRE CACIQUE PORTO ALEGRE;
PARAIBA;JOÃO PESSOA;1186,654;384,543;Cooperativa;PADRE FARIA - ASSOCIAÇÃO DE BENEFICIAMENTO E RECICLAGEM E PRESERVAÇÃO AMBIENTAL DO LIXO E MEIO AMBIENTE DA CIDADE DE OURO PRETO.;
CEARÁ;MARACANAU;1054,259;276,064;Cooperativa;PALHA DE ARROZ - Cooperativa Ecovida Palha de Arroz;
MINAS GERAIS;BELO HORIZONTE;917,505;786,827;Cooperativa;PANTANAL - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS PANTANAL;
MINAS GERAIS;BELO HORIZONTE;928,752;788,99;Cooperativa;PINHEIRAL EM AÇÃO - COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS PINHEIRAL EM AÇÃO;
GOIAS;GOIANIA;750,477;679,745;Cooperativa;PLASANI - ASSOCIACAO BENEFICENTE PLASANI;
RIO DE JANEIRO;RIO DE JANEIRO;954,024;882,496;Cooperativa;PLASFERRO - COOPERATIVA DE RECICLAGEM AMBIENTAL;
RIO DE JANEIRO;DUQUE DE CAXIAS;947,042;874,114;Cooperativa;PRO RECIFE - COOPERATIVA DE TRABALHO DE CATADORES PROFISSIONAIS DO RECIFE;
SÃO PAULO;SÃO PAULO;827,469;898,113;Cooperativa;RAIO DE SOL - ASSOCIAÇÃO DE CATADORES (AS) DE MATERIAIS RECICLÁVEIS RAIO DE SOL;
SÃO PAULO;SÃO PAULO;822,178;908,52;Cooperativa;RECICARMO - Associação de Agentes de Meio Ambiente de Carmo do Rio Claro;
BAHIA;SALVADOR;1078,068;573,776;Cooperativa;RECICLA BRASÍLIA - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS DO DISTRITO FEDERAL;
RIO GRANDE DO NORTE;PARNAMIRIM;1181,508;365,913;Cooperativa;RECICLA CONQUISTA - COOPERATIVA DE CATADORES RECICLA CONQUISTA;
BAHIA;SALVADOR;1108,036;547,677;Cooperativa;RECICLA FLORIPA - ASSOCIAÇÃO DE CATADORES DE RECICLÁVEIS ALTO DA CAIERA E SERRINHA;
PERNAMBUCO;JABOATAO DOS GUARARAPES;1154,358;429,304;Cooperativa;RECICLABEN - COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS DE BENEVIDES;
CEARÁ;FORTALEZA;1067,552;307,292;Cooperativa;RECICLAMAIS ZONA OESTE - COOPERATIVA DE TRABALHO E PRODUÇÃO DE CATADORES DE MATERIAIS RECICLAVEIS DE BANGU LTDA;
CEARÁ;FORTALEZA;1054,259;294,071;Cooperativa;RECICLAR GUAMA - ASSOCIACAO DOS CATADORES DE RECICLAVEIS DE SAO MIGUEL DO GUAMA;
SÃO PAULO;TAUBATÉ;863,859;896,759;Cooperativa;RECICLAR/VR - COOPERATIVA POPULAR DOS AGENTES DO MEIO AMBIENTE DO MUNICÍPIO DE VOLTA REDONDA LTDA;
ALAGOAS;MACEIO;1156,632;479,979;Cooperativa;RECUPERLIXO - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS E ECONOMIA SOLIDARIA DO MUNICÍPIO DA SERRA;
AMAZONAS;MANAUS;415,221;231,693;Cooperativa;RENASCER - COOPERATIVA DOS CATADORES DE PETROLINA;
DISTRITO FEDERAL;SAMAMBAIA;791,864;657,648;Cooperativa;REVIVE - ASSOCIAÇÃO VILA VELHENSE DE COLETORES E COLETORAS DE MATERIAIS RECICLÁVEIS;
SÃO PAULO;GUARUJÁ;844,697;921,168;Cooperativa;SANTOS DUMONT - ASSOCIAÇÃO DE CATADORES DE MATERIAL RECICLÁVEL DE SANTOS DUMONT;
SÃO PAULO;SÃO PAULO;833,98;913,338;Cooperativa;SUL RECICLA - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS SUL RECICLA;
BAHIA;SIMOES FILHO;1091,56;572,315;Cooperativa;UNICICLA NOVA UNIÃO - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS DE NOVA UNIÃO / MG;
DISTRITO FEDERAL;CEILÂNDIA;807,672;654,625;Cooperativa;UNICICLAR - COOPERATIVA DE TRABALHO DOS CATADORES;
MINAS GERAIS;BELO HORIZONTE;909,779;785,466;Cooperativa;UNIDOS DO BAIRRO - ASSOCIAÇÃO DOS CATADORES DE MATERIAIS RECICLÁVEIS UNIDOS DO BAIRRO;
BAHIA;SALVADOR;1089,458;545,648;Cooperativa;UNIVALE - COOPERATIVA DE TRABALHO E RENDA DOS CATADORES UNIVALE;
MINAS GERAIS;BELO HORIZONTE;923,186;780,01;Cooperativa;UNIVALE PORTAO - COOPERATIVA DE TRABALHO E RENDA UNIVALE;
PARANÁ;CURITIBA;757,133;961,587;Cooperativa;UNIVALE SAO LEOPOLDO - COOPERATIVA DE TRABALHO E RENDA UNIVALE;
PARAIBA;JOÃO PESSOA;1173,047;389,038;Cooperativa;UNIVENCE - COOPERATIVA DE TRABALHO DE CATADORES DE MATERIAIS RECICLÁVEIS UNIDOS VENCEREMOS;
RIO GRANDE DO SUL;SANTA MARIA;610,786;1100,034;Cooperativa;VERDECOOP - COOPERATIVA DE RECICLAGEM E COMPOSTAGEM DA COSTA DOS COQUEIROS LTDA;
SÃO PAULO;SÃO PAULO;815,536;915,955;Cooperativa;VILA BETINHO - ASSOCIACAO DE CATADORES DE MATERIAIS RECICLAVEIS VILA BETINHO;
RIO DE JANEIRO;NOVA IGUACU;933,621;876,476;Cooperativa;VITÓRIA - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS VITÓRIA;
PERNAMBUCO;JABOATAO DOS GUARARAPES;1169,857;433,434;Cooperativa;VITÓRIA DO BELÉM - COOPERATIVA DE TRABALHO DE COLETA SELETIVA E RECICLAGEM VITORIA DO BELÉM;
ALAGOAS;MACEIO;1179,041;462,075;Cooperativa;YOUGREEN COOPERATIVA - YOUGREEN COOPERATIVA DE TRABALHO DE BENEFICIAMENTO DE MATERIAIS RECICLAVEIS;
AMAZONAS;MANAUS;439,659;263,892;Cooperativa;ZEITZ - ASSOCIAÇÃO DE CATADORES DE MATERIAIS RECICLÁVEIS ZEITZ;
AMAZONAS;MANAUS;425,158;252,7;Fabricante;Brasal Refrigerantes;"Doação:
Dinheiro para compra de equipamentos para UTIs (ventiladores mecânicos, máscara, luvas e álcool em gel)"
CEARÁ;FORTALEZA;1068,692;292,292;Fabricante;Coca-Cola Andina ;"Doação: 
23,4 mil litros de água mineral 
5 mil garrafas PET
Transporte de 90 mil litros de álcool líquido"
GOIAS;TRINDADE;760,073;677,828;Fabricante;Coca-Cola Bandeirantes ;"Doações:
2,5 mil litros de álcool em gel
60 mil unidades de pré-formas para envase de álcool em gel"
DISTRITO FEDERAL;BRASILIA;809,754;663,96;Fabricante;Coca-Cola Femsa;"Doações:
6 mil máscaras de proteção
170 mil litros de álcool em gel 
2 mil garrafas PET
2 mil tampas de garrafas PET"
MINAS GERAIS;LAVRAS;877,167;813,598;Fabricante;CVI REFRIGERANTES;"Doação:
6 mil garrafas PET com tampa"
MINAS GERAIS;UBERLÂNDIA;806,685;756,808;Fabricante;Grupo Simões;"Doações:
1 milhão de unidades de água mineral 
23 toneladas de cestas básicas
12,6 mil produtos (latas 350ml)
2,5 mil garrafas PET
63 bombonas"
RIO DE JANEIRO;RIO DE JANEIRO;937,943;885,263;Fabricante;Leão Alimentos e Bebidas;"Doações:
400 unidades de máscaras e aventais 
14 mil produtos Coca-Cola/Leão "
SÃO PAULO;SÃO PAULO;839,992;908,86;Fabricante;Solar Coca-Cola;"Doações:
400 mil garrafas PET com tampa 
3 mil cestas básicas
18,3 mil produtos Coca-Cola"
SÃO PAULO;SOROCABA;821,21;908,056;Fabricante;Sorocaba Refrescos ;
SÃO PAULO;SÃO PAULO;830,866;913,053;Fabricante;Uberlândia Refrescos ;
RIO GRANDE DO SUL;SANTA MARIA;629,901;1093,261;Fabricante;Verde Campo;"Doação:
1 mil unidades de produtos Verde Campo"
